Date,Open,High,Low,Close,Adj Close,Volume
2002/1/28,1132.5,1139,1080.75,1123.25,1123.25,1287752
2002/2/4,1123.25,1124,1075.5,1095.25,1095.25,1481866
2002/2/11,1097,1125.5,1094.25,1104.75,1104.75,1136781
2002/2/18,1104,1108,1073.75,1091.75,1091.75,1472822
2002/2/25,1092,1133.5,1087,1132.75,1132.75,1553352
2002/3/4,1131,1173.25,1130,1164,1164,1093327
2002/3/11,1164,1173.5,1147.25,1158.599976,1158.599976,249301
2002/3/18,1166,1177.5,1141.25,1149.75,1149.75,1360012
2002/3/25,1149,1156.75,1133,1144.75,1144.75,1000720
2002/4/1,1145.25,1150,1120.5,1125.5,1125.5,1421037
2002/4/8,1126,1133.5,1103,1112,1112,1890041
2002/4/15,1112.5,1135.75,1100,1126.5,1126.5,1497506
2002/4/22,1127.5,1128,1070.25,1071.25,1071.25,1706817
2002/4/29,1072.25,1092.25,1063.5,1073,1073,1651529
2002/5/6,1073.75,1090,1045.75,1054,1054,1817555
2002/5/13,1054,1109,1053.5,1105.25,1105.25,1799032
2002/5/20,1104.75,1106.5,1075.5,1082.5,1082.5,1646393
2002/5/27,1083.25,1090,1054.25,1064,1064,1645120
2002/6/3,1066.25,1071,1010.25,1028.25,1028.25,2335883
2002/6/10,1029.25,1045,978.75,1009,1009,1443615
2002/6/17,1010.75,1044.75,996,998,998,490462
2002/6/24,992.5,1007.25,945.5,988,988,2856543
2002/7/1,989,996.25,934.75,991,991,2217548
2002/7/8,990.5,995.75,900.5,916.75,916.75,3056718
2002/7/15,916.75,929.75,839.75,844.5,844.5,3584734
2002/7/22,842.75,856.25,771,852.75,852.75,4205062
2002/7/29,855,916,852.5,864,864,2986436
2002/8/5,865,914.75,828.5,907.75,907.75,2889047
2002/8/12,906.5,936,875.75,927.5,927.5,2709135
2002/8/19,928.25,966,921.5,940.75,940.75,2211992
2002/8/26,940.25,956.5,902.5,912.25,912.25,2391102
2002/9/2,913.25,913.25,869.25,894.75,894.75,2528091
2002/9/9,892.5,927.5,876,891.5,891.5,1558949
2002/9/16,891.25,915.75,841.25,847,847,596721
2002/9/23,843.5,857.25,810.25,825.25,825.25,3321479
2002/9/30,825.25,854.75,792.25,806,806,3951176
2002/10/7,804.75,844,767.25,838.25,838.25,4333698
2002/10/14,836.75,889.5,827.5,883.25,883.25,3376886
2002/10/21,882,905,872.5,898.75,898.75,3435317
2002/10/28,900.25,909.25,866,898.5,898.5,3447871
2002/11/4,905.75,926.5,890.5,891.5,891.5,3028784
2002/11/11,892,910.5,870.25,909,909,2957051
2002/11/18,909,937.5,892.25,928.75,928.75,2837449
2002/11/25,929,942.5,910.75,936,936,2133969
2002/12/2,934,955.25,891.75,913.75,913.75,3420242
2002/12/9,913.75,917.75,887,887.5,887.5,1738737
2002/12/16,886.25,912,879.75,891.109985,891.109985,431371
2002/12/23,896.25,903.25,871.25,871.75,871.75,792301
2002/12/30,872.25,910.75,868,910,910,1520407
2003/1/6,911,933,903.75,926.5,926.5,3165752
2003/1/13,926.5,937,897.75,903,903,3074281
2003/1/20,903.25,907.25,857.5,860.25,860.25,3135072
2003/1/27,860.25,867.75,836,854.75,854.75,3945845
2003/2/3,854.75,864,825.25,830.5,830.5,3570975
2003/2/10,831.5,842.75,805.25,837,837,3412135
2003/2/17,839.25,853.25,829.75,847.25,847.25,3049529
2003/2/24,847.5,850.5,817.25,841,841,3329716
2003/3/3,844,853,809,828.5,828.5,3403507
2003/3/10,827.5,843.5,788.5,834.25,834.25,2452341
2003/3/17,831.5,888.5,823.5,887.159973,887.159973,945130
2003/3/24,885.5,885.5,856,863,863,3043886
2003/3/31,858.5,888.75,840,878.5,878.5,3311356
2003/4/7,883,905,861.5,868.25,868.25,3355391
2003/4/14,871,903.5,865.5,891.25,891.25,2320232
2003/4/21,893,919.5,885,898.5,898.5,3029590
2003/4/28,899,930.25,895.25,927.5,927.5,2995020
2003/5/5,927,939.5,918.25,932.25,932.25,3211475
2003/5/12,933.25,949.75,928.25,944.25,944.25,2894983
2003/5/19,941.75,941.75,911.25,932.25,932.25,3449694
2003/5/26,932.25,966,927,963.25,963.25,3022733
2003/6/2,963.75,1008.5,963.5,987.75,987.75,4023682
2003/6/9,986.25,1004.5,972.25,989.75,989.75,2224387
2003/6/16,989,1016.75,986.5,1001.559998,1001.559998,748181
2003/6/23,992.25,992.75,970,973.25,973.25,3290971
2003/6/30,974.5,994.25,960.25,982.5,982.5,2484111
2003/7/7,983.75,1010,982,997.25,997.25,3125300
2003/7/14,997.25,1014.75,976.75,990.5,990.5,3442657
2003/7/21,991.25,998.25,973.5,996.75,996.75,3516827
2003/7/28,998,1004,977,979.5,979.5,3523673
2003/8/4,979.25,985,958.25,978,978,3267788
2003/8/11,978,993.5,972.75,990.5,990.5,2318563
2003/8/18,990,1012.25,989.75,992.5,992.5,2460315
2003/8/25,991.75,1009.25,982.5,1007.75,1007.75,1811328
2003/9/1,1008.25,1029.75,1004.5,1022.25,1022.25,3190905
2003/9/8,1021.75,1034.75,1007,1018,1018,2316123
2003/9/15,1019,1041.75,1010,1039.599976,1039.599976,765818
2003/9/22,1031.75,1031.75,994,994.5,994.5,3849530
2003/9/29,995.25,1038,987.75,1028.5,1028.5,4235956
2003/10/6,1027,1047.25,1024.25,1040.5,1040.5,3100109
2003/10/13,1040.5,1055.75,1034.75,1037.75,1037.75,2878599
2003/10/20,1037.5,1049.5,1016.25,1030,1030,3143033
2003/10/27,1028.25,1054.5,1027.25,1049.5,1049.5,2956804
2003/11/3,1047.25,1064.5,1043.25,1050.5,1050.5,2953612
2003/11/10,1051.25,1064.25,1041.5,1049,1049,2769974
2003/11/17,1048,1048.5,1030.25,1036.25,1036.25,3435698
2003/11/24,1035.75,1060.25,1035.25,1057.75,1057.75,2400494
2003/12/1,1059,1074.25,1055.75,1062.25,1062.25,3117942
2003/12/8,1061,1075,1053,1074.25,1074.25,2020961
2003/12/15,1087.25,1092.25,1067.25,1091.609985,1091.609985,695905
2003/12/22,1082.5,1097,1080.5,1093.5,1093.5,723035
2003/12/29,1093.5,1118,1093,1109,1109,1295331
2004/1/5,1108.75,1131,1108.75,1120,1120,3279027
2004/1/12,1119.5,1139,1113.75,1138,1138,3658867
2004/1/19,1137.75,1149.25,1132.75,1140.25,1140.25,3020001
2004/1/26,1140,1155,1120.75,1130,1130,3537125
2004/2/2,1130.25,1142.25,1122,1139,1139,3268511
2004/2/9,1139.25,1158.75,1137.5,1145.75,1145.75,2609043
2004/2/16,1145.5,1158.75,1137.75,1143.75,1143.75,2874234
2004/2/23,1144,1152,1133.25,1144.5,1144.5,3031972
2004/3/1,1144.25,1163.75,1143.25,1157.75,1157.75,3252432
