Date,Open,High,Low,Close*,Adj Close**,Volume
12-Apr-21,"8,557.22","8,571.70","8,536.71","8,564.03","8,564.03",-
9-Apr-21,"8,497.76","8,566.46","8,497.16","8,565.57","8,565.57",-
8-Apr-21,"8,484.88","8,501.91","8,469.50","8,499.85","8,499.85",-
7-Apr-21,"8,450.44","8,468.56","8,438.03","8,462.18","8,462.18",-
6-Apr-21,"8,452.92","8,475.00","8,437.58","8,449.54","8,449.54",-
5-Apr-21,"8,367.25","8,468.81","8,367.25","8,457.40","8,457.40",-
1-Apr-21,"8,279.75","8,337.48","8,279.75","8,335.91","8,335.91",-
31-Mar-21,"8,226.77","8,282.99","8,226.49","8,238.48","8,238.48",-
30-Mar-21,"8,218.03","8,227.48","8,178.81","8,208.10","8,208.10",-
29-Mar-21,"8,229.55","8,255.47","8,175.83","8,233.24","8,233.24",-
26-Mar-21,"8,121.33","8,246.90","8,121.33","8,240.38","8,240.38",-
25-Mar-21,"8,042.96","8,125.98","7,990.02","8,105.51","8,105.51",-
24-Mar-21,"8,126.82","8,172.74","8,062.95","8,063.00","8,063.00",-
23-Mar-21,"8,162.98","8,186.75","8,088.51","8,106.83","8,106.83",-
22-Mar-21,"8,119.17","8,199.50","8,114.38","8,169.14","8,169.14",-
19-Mar-21,"8,112.22","8,147.38","8,057.74","8,112.13","8,112.13",-
18-Mar-21,"8,195.02","8,228.18","8,106.64","8,116.17","8,116.17",-
17-Mar-21,"8,186.47","8,257.23","8,158.06","8,237.35","8,237.35",-
16-Mar-21,"8,236.19","8,251.49","8,194.41","8,213.63","8,213.63",-
15-Mar-21,"8,172.49","8,228.38","8,132.22","8,226.32","8,226.32",-
12-Mar-21,"8,133.90","8,176.01","8,114.76","8,172.90","8,172.90",-
11-Mar-21,"8,113.28","8,205.85","8,113.28","8,162.58","8,162.58",-
10-Mar-21,"8,063.94","8,116.45","8,051.18","8,078.05","8,078.05",-
9-Mar-21,"7,980.49","8,087.84","7,980.49","8,029.20","8,029.20",-
8-Mar-21,"7,964.14","8,040.07","7,912.34","7,916.41","7,916.41",-
5-Mar-21,"7,858.80","7,979.17","7,727.67","7,958.98","7,958.98",-
4-Mar-21,"7,910.12","7,961.43","7,712.97","7,806.45","7,806.45",-
3-Mar-21,"8,002.90","8,024.06","7,909.86","7,911.21","7,911.21",-
2-Mar-21,"8,084.60","8,090.06","8,012.84","8,015.54","8,015.54",-
1-Mar-21,"7,957.96","8,107.01","7,957.96","8,080.78","8,080.78",-
26-Feb-21,"7,951.84","7,995.85","7,848.05","7,892.81","7,892.81",-
25-Feb-21,"8,108.58","8,127.41","7,897.98","7,929.56","7,929.56",-
24-Feb-21,"8,020.30","8,134.03","7,991.14","8,127.38","8,127.38",-
23-Feb-21,"7,985.76","8,066.25","7,879.38","8,036.06","8,036.06",-
22-Feb-21,"8,044.55","8,080.47","8,022.63","8,025.81","8,025.81",-
19-Feb-21,"8,117.60","8,136.75","8,081.47","8,087.68","8,087.68",-
18-Feb-21,"8,106.15","8,118.78","8,042.50","8,102.24","8,102.24",-
17-Feb-21,"8,111.32","8,142.49","8,074.51","8,137.88","8,137.88",-
16-Feb-21,"8,153.69","8,175.83","8,121.47","8,139.16","8,139.16",-
12-Feb-21,"8,094.81","8,147.26","8,083.61","8,142.79","8,142.79",-
11-Feb-21,"8,104.25","8,124.00","8,050.71","8,104.19","8,104.19",-
10-Feb-21,"8,111.66","8,133.31","8,037.52","8,089.11","8,089.11",-
9-Feb-21,"8,090.18","8,106.25","8,074.04","8,091.70","8,091.70",-
8-Feb-21,"8,051.75","8,099.41","8,051.75","8,099.33","8,099.33",-
5-Feb-21,"8,022.02","8,055.57","8,015.14","8,039.67","8,039.67",-
4-Feb-21,"7,935.06","8,008.41","7,935.06","8,007.62","8,007.62",-
3-Feb-21,"7,941.73","7,956.68","7,893.06","7,920.85","7,920.85",-
2-Feb-21,"7,841.58","7,947.56","7,841.58","7,912.87","7,912.87",-
1-Feb-21,"7,716.04","7,825.95","7,704.89","7,804.31","7,804.31",-
29-Jan-21,"7,812.94","7,812.94","7,639.40","7,681.01","7,681.01",-
28-Jan-21,"7,765.84","7,920.18","7,765.84","7,831.22","7,831.22",-
27-Jan-21,"7,932.67","7,932.67","7,717.66","7,754.74","7,754.74",-
26-Jan-21,"7,986.68","8,001.99","7,955.36","7,959.10","7,959.10",-
25-Jan-21,"7,963.33","7,978.91","7,850.60","7,970.92","7,970.92",-
22-Jan-21,"7,947.95","7,964.63","7,919.75","7,942.20","7,942.20",-
21-Jan-21,"7,975.19","7,983.28","7,949.70","7,966.11","7,966.11",-
20-Jan-21,"7,889.27","7,979.26","7,889.27","7,962.92","7,962.92",-
19-Jan-21,"7,818.26","7,864.88","7,815.26","7,853.47","7,853.47",-
15-Jan-21,"7,832.13","7,832.13","7,751.66","7,789.79","7,789.79",-
14-Jan-21,"7,886.27","7,903.98","7,840.56","7,846.10","7,846.10",-
13-Jan-21,"7,859.01","7,897.71","7,837.12","7,874.75","7,874.75",-
12-Jan-21,"7,857.60","7,876.47","7,806.15","7,856.72","7,856.72",-
11-Jan-21,"7,860.76","7,891.07","7,831.67","7,853.45","7,853.45",-
8-Jan-21,"7,885.36","7,909.32","7,820.38","7,905.28","7,905.28",-
7-Jan-21,"7,780.35","7,876.67","7,780.35","7,861.10","7,861.10",-
6-Jan-21,"7,744.43","7,744.43","7,744.43","7,744.43","7,744.43",-
5-Jan-21,"7,640.77","7,722.69","7,635.64","7,700.34","7,700.34",-
4-Jan-21,"7,777.41","7,788.35","7,567.08","7,645.27","7,645.27",-
31-Dec-20,"7,712.24","7,767.17","7,699.05","7,759.35","7,759.35",-
30-Dec-20,"7,717.67","7,735.04","7,705.32","7,709.10","7,709.10",-
29-Dec-20,"7,745.38","7,757.76","7,690.22","7,697.93","7,697.93",-
28-Dec-20,"7,689.64","7,725.74","7,689.64","7,715.10","7,715.10",-
24-Dec-20,"7,629.75","7,649.79","7,620.12","7,648.39","7,648.39",-
23-Dec-20,"7,627.67","7,664.44","7,619.82","7,620.63","7,620.63",-
22-Dec-20,"7,637.18","7,637.48","7,591.91","7,614.83","7,614.83",-
21-Dec-20,"7,608.11","7,646.22","7,509.69","7,630.07","7,630.07",-
18-Dec-20,"7,686.56","7,695.16","7,611.18","7,659.75","7,659.75",-
17-Dec-20,"7,667.96","7,691.20","7,662.29","7,686.18","7,686.18",-
16-Dec-20,"7,631.65","7,662.65","7,615.79","7,641.82","7,641.82",-
15-Dec-20,"7,570.02","7,629.65","7,556.01","7,628.28","7,628.28",-
14-Dec-20,"7,588.20","7,634.30","7,530.21","7,530.87","7,530.87",-
11-Dec-20,"7,547.24","7,567.43","7,500.48","7,562.46","7,562.46",-
10-Dec-20,"7,553.35","7,593.32","7,524.94","7,571.87","7,571.87",-
