Date,Open,High,Low,Close*,Adj Close**,Volume
1-Jan-19,"4,924.81","5,393.26","4,860.86","5,383.63","5,383.63",-
1-Dec-18,"5,539.12","5,558.16","4,664.09","4,984.22","4,984.22",-
1-Nov-18,"5,381.20","5,577.68","5,219.62","5,478.91","5,478.91",-
1-Oct-18,"5,787.81","5,814.82","5,155.62","5,369.49","5,369.49",-
1-Sep-18,"5,722.32","5,814.95","5,660.05","5,763.42","5,763.42",-
1-Aug-18,"5,559.58","5,758.84","5,511.30","5,730.80","5,730.80",-
1-Jul-18,"5,324.65","5,611.49","5,312.84","5,549.96","5,549.96",-
1-Jun-18,"5,344.99","5,490.37","5,298.65","5,350.83","5,350.83",-
1-May-18,"5,184.42","5,387.38","5,089.09","5,318.10","5,318.10",-
1-Apr-18,"5,158.70","5,327.62","5,002.71","5,193.04","5,193.04",-
1-Mar-18,"5,311.62","5,484.36","5,064.43","5,173.19","5,173.19",-
1-Feb-18,"5,497.92","5,535.85","4,947.99","5,308.09","5,308.09",-
1-Jan-18,"5,232.72","5,606.08","5,230.06","5,511.21","5,511.21",-
1-Dec-17,"5,150.83","5,251.39","5,074.14","5,212.76","5,212.76",-
1-Nov-17,"5,017.47","5,174.64","4,974.38","5,155.44","5,155.44",-
1-Oct-17,"4,891.56","5,016.43","4,890.03","5,002.03","5,002.03",-
1-Sep-17,"4,794.86","4,888.00","4,741.05","4,887.97","4,887.97",-
1-Aug-17,"4,787.73","4,816.97","4,680.53","4,789.18","4,789.18",-
1-Jul-17,"4,694.19","4,800.75","4,651.21","4,774.56","4,774.56",-
1-Jun-17,"4,657.33","4,735.11","4,644.07","4,678.36","4,678.36",-
1-May-17,"4,593.11","4,660.46","4,532.45","4,649.34","4,649.34",-
1-Apr-17,"4,537.71","4,611.16","4,477.06","4,584.82","4,584.82",-
1-Mar-17,"4,565.38","4,605.27","4,459.50","4,538.21","4,538.21",-
1-Feb-17,"4,373.65","4,547.92","4,347.69","4,532.93","4,532.93",-
1-Jan-17,"4,303.12","4,401.57","4,290.85","4,359.81","4,359.81",-
1-Dec-16,"4,198.49","4,348.89","4,174.22","4,278.66","4,278.66",-
