Date,Open,High,Low,Close*,Adj Close**,Volume
23-Oct-17,"5,006.80","5,016.43","4,940.76","5,012.75","5,012.75",-
16-Oct-17,"4,962.03","5,001.56","4,947.89","5,001.11","5,001.11",-
9-Oct-17,"4,953.09","4,965.92","4,934.12","4,957.27","4,957.27",-
2-Oct-17,"4,891.56","4,953.65","4,890.03","4,949.09","4,949.09",-
25-Sep-17,"4,847.71","4,888.00","4,825.66","4,887.97","4,887.97",-
18-Sep-17,"4,853.44","4,865.80","4,842.19","4,853.20","4,853.20",-
11-Sep-17,"4,796.46","4,848.84","4,796.46","4,848.84","4,848.84",-
4-Sep-17,"4,786.97","4,790.10","4,741.05","4,771.02","4,771.02",-
28-Aug-17,"4,740.00","4,806.41","4,703.58","4,798.99","4,798.99",-
21-Aug-17,"4,696.27","4,753.11","4,680.53","4,731.46","4,731.46",-
14-Aug-17,"4,750.38","4,791.40","4,686.84","4,696.22","4,696.22",-
7-Aug-17,"4,789.84","4,816.97","4,716.63","4,723.73","4,723.73",-
31-Jul-17,"4,785.46","4,795.20","4,768.28","4,789.11","4,789.11",-
24-Jul-17,"4,777.21","4,800.75","4,755.37","4,778.02","4,778.02",-
17-Jul-17,"4,752.02","4,787.77","4,734.53","4,778.07","4,778.07",-
10-Jul-17,"4,683.59","4,759.55","4,661.14","4,751.43","4,751.43",-
3-Jul-17,"4,694.19","4,709.16","4,651.21","4,684.88","4,684.88",-
26-Jun-17,"4,715.47","4,729.16","4,644.07","4,678.36","4,678.36",-
19-Jun-17,"4,713.43","4,735.11","4,691.10","4,705.73","4,705.73",-
12-Jun-17,"4,678.76","4,714.78","4,667.10","4,695.23","4,695.23",-
5-Jun-17,"4,700.35","4,717.60","4,660.18","4,689.79","4,689.79",-
29-May-17,"4,648.37","4,704.75","4,633.59","4,702.56","4,702.56",-
22-May-17,"4,599.00","4,660.46","4,598.44","4,655.65","4,655.65",-
15-May-17,"4,609.45","4,632.93","4,532.45","4,588.35","4,588.35",-
8-May-17,"4,616.82","4,624.48","4,585.29","4,602.96","4,602.96",-
1-May-17,"4,593.11","4,615.10","4,577.29","4,615.09","4,615.09",-
24-Apr-17,"4,557.59","4,611.16","4,555.43","4,584.82","4,584.82",-
17-Apr-17,"4,484.14","4,540.21","4,483.99","4,515.90","4,515.90",-
10-Apr-17,"4,530.56","4,548.21","4,477.06","4,477.07","4,477.07",-
3-Apr-17,"4,537.71","4,569.53","4,503.90","4,527.20","4,527.20",-
27-Mar-17,"4,472.56","4,552.96","4,459.50","4,538.21","4,538.21",-
20-Mar-17,"4,566.28","4,573.68","4,485.43","4,501.11","4,501.11",-
13-Mar-17,"4,552.77","4,588.50","4,527.33","4,566.17","4,566.17",-
6-Mar-17,"4,556.57","4,563.41","4,518.60","4,553.28","4,553.28",-
27-Feb-17,"4,535.84","4,605.27","4,523.99","4,571.60","4,571.60",-
20-Feb-17,"4,513.39","4,539.92","4,511.65","4,539.25","4,539.25",-
13-Feb-17,"4,447.32","4,506.37","4,446.76","4,506.20","4,506.20",-
6-Feb-17,"4,390.97","4,441.40","4,375.59","4,435.42","4,435.42",-
30-Jan-17,"4,373.45","4,398.58","4,337.53","4,396.95","4,396.95",-
23-Jan-17,"4,338.04","4,401.57","4,317.45","4,389.85","4,389.85",-
16-Jan-17,"4,339.60","4,355.41","4,319.87","4,344.67","4,344.67",-
