Date,Open,High,Low,Close,Adj Close,Volume
2010/2/1,1070,1112.75,1040.75,1103.5,1103.5,42889035
2010/3/1,1105.5,1176.5,1104.25,1165.25,1165.25,35018888
2010/4/1,1167,1216.75,1165.75,1183.5,1183.5,43519691
2010/5/1,1184.5,1202,1036.75,1088.5,1088.5,64166740
2010/6/1,1088.5,1129.5,1023,1026.5,1026.5,45903232
2010/7/1,1024.5,1118.75,1002.75,1098.25,1098.25,44395608
2010/9/1,1051.75,1153.5,1050.75,1136.75,1136.75,34842191
2010/10/1,1135.75,1193,1127,1179.75,1179.75,41896636
2010/11/1,1180.5,1224.75,1171,1179.5,1179.5,45560838
2010/12/1,1177.75,1258.5,1176.25,1253,1253,24470452
2011/1/1,1256,1299.5,1255.25,1282.5,1282.5,38657978
2011/2/1,1282.5,1343,1281.25,1326,1326,36247307
2011/3/1,1326.5,1336.5,1246.5,1321,1321,41454693
2011/4/1,1321.25,1363.75,1290.25,1359.75,1359.75,32669233
2011/6/1,1344.75,1347.75,1256.25,1315.5,1315.5,43006074
2011/7/1,1314.75,1354.5,1278.5,1288.5,1288.5,43046444
2011/8/1,1306,1309.75,1077,1217.75,1217.75,82470593
2011/9/1,1218,1228.5,1102,1126,1126,52748892
2011/10/1,1123,1289.25,1068,1249.25,1249.25,54997421
2011/11/1,1247.5,1275.25,1147.5,1246,1246,51414090
2011/12/1,1243.75,1272,1195.5,1252.5,1252.5,30759846
2012/2/1,1307.75,1377.25,1303.75,1364.5,1364.5,32424250
2012/3/1,1362.25,1419.75,1338.5,1403.25,1403.25,32182184
2012/5/1,1394.25,1411.75,1287.25,1309.25,1309.25,47313261
2012/6/1,1306.25,1359.5,1262,1356.5,1356.5,40046749
2012/8/1,1372,1424.75,1349.25,1405,1405,33291460
2012/9/1,1406.25,1474.75,1394.5,1434.25,1434.25,27305631
2012/10/1,1432.75,1466,1393,1406.75,1406.75,36878465
2012/11/1,1402,1431.75,1340.25,1414.5,1414.5,39414590
2012/12/1,1413.25,1450.5,1382.25,1420,1420,25809845
2013/1/1,1443,1506,1438.25,1493.25,1493.25,30693755
2013/2/1,1496,1530,1481.75,1513.25,1513.25,35767412
2013/3/1,1512.5,1565,1499.5,1562.75,1562.75,32991024
2013/4/1,1563,1594.25,1530.75,1592.25,1592.25,41050153
2013/5/1,1593.75,1685.75,1576,1629,1629,41505859
2013/6/1,1629.5,1655,1553.25,1599.25,1599.25,39134380
2013/7/1,1600.25,1695.5,1593.25,1680.5,1680.5,29247477
2013/8/1,1685.5,1705,1624.75,1631.25,1631.25,34763690
2013/10/1,1678.5,1773.25,1640,1751,1751,38932977
2013/11/1,1755.5,1812.5,1736.5,1804,1804,28541251
2014/1/1,1837.75,1845.75,1761.25,1776.5,1776.5,33658961
2014/2/1,1777.5,1866.5,1732,1857.5,1857.5,33092989
2014/3/1,1846,1887.5,1830.5,1864.5,1864.5,31422877
2014/4/1,1864.5,1892.5,1803.25,1878,1878,34391487
2014/5/1,1879.5,1922.25,1854.5,1921.5,1921.5,27540047
2014/7/1,1954.5,1985.75,1923.5,1924.75,1924.75,33198665
2014/8/1,1926,2003.75,1890.25,2001.5,2001.5,27905668
2014/9/1,1999,2022.5,1955.5,1965.5,1965.5,30245897
2014/10/1,1961,2016.75,1813,2011.5,2011.5,54344781
2014/11/1,2011.25,2075.25,1995.25,2066.25,2066.25,22055532
2014/12/1,2063.25,2088.75,1968.25,2052.5,2052.5,25307600
2015/1/1,2055,2067.25,1970.25,1988.5,1988.5,38296190
2015/4/1,2058,2119.75,2033.5,2079,2079,26732419
2015/5/1,2082.75,2134,2057,2106,2106,24432459
2015/6/1,2107,2127.5,2046.75,2054.5,2054.5,28703516
2015/7/1,2054.5,2126.25,2034.25,2098.5,2098.5,32922756
2015/8/1,2098.75,2107,1831,1969.25,1969.25,46040057
2015/9/1,1965.5,2021.5,1861,1908.75,1908.75,37053166
2015/10/1,1902.5,2094.75,1883,2073.75,2073.75,36135672
2015/12/1,2085.5,2105,1992.25,2035.5,2035.5,30360708
2016/1/1,2037.75,2043.5,1804.25,1930,1930,47869821
2016/2/1,1929.75,1968.75,1802.5,1929.5,1929.5,42332872
2016/3/1,1928,2064.5,1920.75,2051.5,2051.5,33244014
2016/4/1,2052.75,2105.25,2026,2059,2059,34568248
2016/6/1,2094,2119.75,1981.5,2090.25,2090.25,35796398
2016/7/1,2086.5,2172.5,2065.75,2168.25,2168.25,31099590
2016/8/1,2174,2191.5,2141.5,2169.5,2169.5,33243500
2016/9/1,2169,2189.25,2107,2160.5,2160.5,33689872
2016/10/1,2158.75,2164,2107.75,2120,2120,32478690
2016/11/1,2123.5,2213.75,2028.5,2198.75,2198.75,38064277
2016/12/1,2199.5,2278.25,2179,2236.25,2236.25,24590081
2017/2/1,2277,2370.75,2264.5,2362.75,2362.75,26677116
2017/3/1,2364.5,2401,2317.75,2359.25,2359.25,32913420
2017/4/1,2357.5,2394.75,2322.75,2380.5,2380.5,27331387
2017/5/1,2381.5,2417.75,2344.5,2411,2411,27952492
2017/6/1,2413.75,2451.5,2402.25,2421,2421,29280816
2017/7/1,2422,2480.5,2405.25,2468,2468,22165262
2017/8/1,2468,2488.5,2415.75,2470,2470,32322555
2017/9/1,2470.25,2517.75,2445.5,2516,2516,24471775
2017/11/1,2572.75,2658.5,2555.5,2648,2648,27098922
2017/12/1,2640.75,2698.25,2605,2676,2676,21307133
2018/1/1,2675.25,2878.5,2674.5,2825.75,2825.75,28822046
2018/2/1,2828.75,2837.25,2529,2714.5,2714.5,41226219
2018/3/1,2718.25,2802.5,2586,2643,2643,37402075
2018/5/1,2646.25,2741.75,2591.25,2705.5,2705.5,28616867
