,Credit Suisse Hedge Fund Index ,,,Credit Suisse Convertible Arbitrage Hedge Fund Index,,,Credit Suisse Dedicated Short Bias Hedge Fund Index,,,Credit Suisse Emerging Markets Hedge Fund Index,,,Credit Suisse Equity Market Neutral Hedge Fund Index,,,Credit Suisse Event Driven Hedge Fund Index,,,Credit Suisse Event Driven Distressed Hedge Fund Index,,,Credit Suisse Event Driven Multi-Strategy Hedge Fund Index,,,Credit Suisse Event Driven Risk Arbitrage Hedge Fund Index,,,Credit Suisse Fixed Income Arbitrage Hedge Fund Index,,,Credit Suisse Global Macro Hedge Fund Index,,,Credit Suisse Long/Short Equity Hedge Fund Index,,,Credit Suisse Managed Futures Hedge Fund Index,,,Credit Suisse Multi-Strategy Hedge Fund Index,,,Credit Suisse AllHedge Index,,,Credit Suisse AllHedge Convertible Arbitrage Index,,,Credit Suisse AllHedge Dedicated Short Bias Index,,,Credit Suisse AllHedge Emerging Markets Index,,,Credit Suisse AllHedge Equity Market Neutral Index,,,Credit Suisse AllHedge Event Driven Index,,,Credit Suisse AllHedge Fixed Income Arbitrage Index,,,Credit Suisse AllHedge Global Macro Index,,,Credit Suisse AllHedge Long/Short Equity Index,,,Credit Suisse AllHedge Managed Futures Index,,,Credit Suisse AllHedge Multi-Strategy Index,,
,HEDG,,,HEDG_CVARB,,,HEDG_DEDSH,,,HEDG_EMMKT,,,HEDG_EQNTR,,,HEDG_EVDRV,,,HEDG_DISTR,,,HEDG_MSEVD,,,HEDG_MRARB,,,HEDG_FIARB,,,HEDG_GLMAC,,,HEDG_LOSHO,,,HEDG_MGFUT,,,HEDG_MULTI,,,SECT,,,SECT_CVARB,,,SECT_DEDSH,,,SECT_EMMKT,,,SECT_EQNTR,,,SECT_EVDRV,,,SECT_FIARB,,,SECT_GLMAC,,,SECT_LOSHO,,,SECT_MGFUT,,,SECT_MULTI,,
Date,CCY,NAV,ROR,CCY,NAV,ROR,CCY,NAV,ROR,CCY,NAV,ROR,CCY,NAV,ROR,CCY,NAV,ROR,CCY,NAV,ROR,CCY,NAV,ROR,CCY,NAV,ROR,CCY,NAV,ROR,CCY,NAV,ROR,CCY,NAV,ROR,CCY,NAV,ROR,CCY,NAV,ROR,CCY,NAV,ROR,CCY,NAV,ROR,CCY,NAV,ROR,CCY,NAV,ROR,CCY,NAV,ROR,CCY,NAV,ROR,CCY,NAV,ROR,CCY,NAV,ROR,CCY,NAV,ROR,CCY,NAV,ROR,CCY,NAV,ROR
12/31/2018,USD,577.46,-1.19%,USD,454.26,-1.74%,,,,USD,476.42,-1.30%,USD,264.56,1.54%,USD,621.54,-3.14%,USD,816.56,-1.98%,USD,545.65,-3.82%,USD,387.83,0.05%,USD,340.13,-0.48%,USD,934.94,0.30%,USD,707.58,-2.46%,USD,284.36,0.80%,USD,575.19,-0.55%,USD,127.78,-0.53%,USD,122.88,-1.30%,,,,USD,173.43,-1.08%,USD,88.03,2.34%,USD,149.36,-3.21%,USD,84.73,-0.21%,USD,101.71,-0.81%,USD,150.9,-1.91%,USD,145.96,1.85%,USD,145.14,0.27%
11/30/2018,USD,584.42,-0.59%,USD,462.3,-0.12%,,,,USD,482.68,0.59%,USD,260.55,-4.30%,USD,641.71,-0.41%,USD,833.09,-0.33%,USD,567.33,-0.50%,USD,387.65,0.60%,USD,341.77,-0.58%,USD,932.11,-0.66%,USD,725.46,0.17%,USD,282.09,-0.99%,USD,578.39,-1.33%,USD,128.46,-0.90%,USD,124.5,-0.47%,,,,USD,175.33,1.63%,USD,86.02,-4.06%,USD,154.32,-1.06%,USD,84.91,-0.42%,USD,102.54,-1.59%,USD,153.84,-1.05%,USD,143.31,-0.58%,USD,144.75,-0.62%
10/31/2018,USD,587.87,-2.57%,USD,462.86,-1.38%,,,,USD,479.85,-2.55%,USD,272.25,-2.09%,USD,644.34,-2.72%,USD,835.86,-0.91%,USD,570.17,-3.55%,USD,385.34,-1.49%,USD,343.77,-0.24%,USD,938.28,-1.38%,USD,724.21,-4.48%,USD,284.91,-3.48%,USD,586.19,-1.90%,USD,129.63,-3.98%,USD,125.09,-1.34%,,,,USD,172.51,-4.28%,USD,89.66,-3.69%,USD,155.97,-1.45%,USD,85.27,-0.95%,USD,104.2,-8.99%,USD,155.48,-4.53%,USD,144.14,-3.78%,USD,145.65,-0.93%
9/30/2018,USD,603.39,0.10%,USD,469.33,0.87%,,,,USD,492.42,-1.36%,USD,278.07,-0.37%,USD,662.36,0.23%,USD,843.55,-0.15%,USD,591.13,0.38%,USD,391.17,0.48%,USD,344.59,0.21%,USD,951.45,0.35%,USD,758.17,0.06%,USD,295.17,-0.71%,USD,597.53,0.61%,USD,135.01,0.11%,USD,126.79,0.32%,,,,USD,180.22,0.07%,USD,93.1,-0.40%,USD,158.27,0.25%,USD,86.09,0.21%,USD,114.49,1.00%,USD,162.86,-0.01%,USD,149.81,-1.14%,USD,147.01,0.44%
8/31/2018,USD,602.77,0.12%,USD,465.28,-0.36%,,,,USD,499.19,-2.91%,USD,279.1,0.14%,USD,660.81,0.17%,USD,844.79,0.03%,USD,588.89,0.20%,USD,389.29,0.71%,USD,343.86,0.30%,USD,948.13,-0.73%,USD,757.74,0.05%,USD,297.28,2.50%,USD,593.9,0.70%,USD,134.86,0.14%,USD,126.39,-0.14%,,,,USD,180.09,-4.09%,USD,93.47,0.89%,USD,157.88,0.47%,USD,85.91,-0.09%,USD,113.36,-1.64%,USD,162.87,-0.31%,USD,151.54,3.80%,USD,146.36,0.23%
7/31/2018,USD,602.02,0.36%,USD,466.97,0.41%,,,,USD,514.14,0.15%,USD,278.72,0.00%,USD,659.69,0.62%,USD,844.56,0.91%,USD,587.7,0.56%,USD,386.54,-0.37%,USD,342.84,0.42%,USD,955.08,0.19%,USD,757.37,1.43%,USD,290.02,-1.13%,USD,589.75,-0.34%,USD,134.67,-0.38%,USD,126.57,0.13%,,,,USD,187.76,-0.41%,USD,92.65,-0.64%,USD,157.14,0.34%,USD,85.99,0.30%,USD,115.25,-0.26%,USD,163.37,0.23%,USD,145.99,-1.77%,USD,146.03,-0.36%
6/30/2018,USD,599.86,-0.23%,USD,465.07,-0.38%,,,,USD,513.39,-3.87%,USD,278.73,-0.11%,USD,655.61,0.65%,USD,836.97,0.63%,USD,584.45,0.64%,USD,387.99,0.92%,USD,341.4,0.17%,USD,953.28,-0.38%,USD,746.7,-0.99%,USD,293.32,1.43%,USD,591.76,0.08%,USD,135.18,-0.46%,USD,126.4,-0.74%,,,,USD,188.53,-3.40%,USD,93.25,-0.60%,USD,156.61,0.73%,USD,85.73,-0.37%,USD,115.55,-1.26%,USD,162.99,-1.39%,USD,148.62,0.29%,USD,146.56,1.01%
5/31/2018,USD,601.24,0.28%,USD,466.85,-0.56%,,,,USD,534.08,0.17%,USD,279.03,-1.07%,USD,651.39,0.52%,USD,831.74,-0.17%,USD,580.72,0.80%,USD,384.47,0.28%,USD,340.83,-0.79%,USD,956.94,1.54%,USD,754.15,0.38%,USD,289.19,-1.10%,USD,591.27,0.36%,USD,135.81,0.01%,USD,127.34,-1.19%,,,,USD,195.16,0.86%,USD,93.81,-0.10%,USD,155.48,0.95%,USD,86.05,-1.02%,USD,117.03,-0.31%,USD,165.28,0.95%,USD,148.19,-1.59%,USD,145.1,0.67%
4/30/2018,USD,599.59,0.05%,USD,469.5,0.18%,,,,USD,533.17,-0.65%,USD,282.06,0.55%,USD,648.01,0.40%,USD,833.14,0.05%,USD,576.1,0.57%,USD,383.4,-0.39%,USD,343.56,0.36%,USD,942.41,0.12%,USD,751.31,0.27%,USD,292.41,-0.60%,USD,589.13,-0.30%,USD,135.8,-0.07%,USD,128.87,0.30%,,,,USD,193.5,-0.28%,USD,93.9,-0.80%,USD,154.01,0.38%,USD,86.94,-0.18%,USD,117.39,-0.94%,USD,163.73,0.19%,USD,150.58,0.27%,USD,144.14,0.30%
3/31/2018,USD,599.28,-0.06%,USD,468.67,-0.03%,,,,USD,536.68,-0.95%,USD,280.53,0.33%,USD,645.46,-0.53%,USD,832.7,-0.43%,USD,572.86,-0.57%,USD,384.91,-0.35%,USD,342.33,0.48%,USD,941.31,-0.50%,USD,749.31,-0.12%,USD,294.18,-0.27%,USD,590.93,0.98%,USD,135.9,-0.45%,USD,128.48,-0.75%,,,,USD,194.04,-0.75%,USD,94.66,1.34%,USD,153.43,-0.97%,USD,87.1,0.36%,USD,118.5,-0.39%,USD,163.42,-1.14%,USD,150.17,-0.55%,USD,143.71,-0.03%
2/28/2018,USD,599.66,-2.12%,USD,468.82,-0.93%,,,,USD,541.83,-1.35%,USD,279.6,-1.63%,USD,648.88,-1.31%,USD,836.3,-0.58%,USD,576.15,-1.60%,USD,386.28,-1.32%,USD,340.69,0.39%,USD,946.05,-1.99%,USD,750.19,-1.93%,USD,294.97,-7.50%,USD,585.22,-2.15%,USD,136.51,-3.74%,USD,129.45,0.22%,,,,USD,195.51,-2.80%,USD,93.41,-1.27%,USD,154.94,-0.55%,USD,86.79,-0.80%,USD,118.96,-5.45%,USD,165.3,-1.24%,USD,151,-9.06%,USD,143.76,-1.97%
1/31/2018,USD,612.67,2.71%,USD,473.24,1.82%,,,,USD,549.23,3.57%,USD,284.24,2.06%,USD,657.47,1.61%,USD,841.16,1.38%,USD,585.5,1.73%,USD,391.43,1.10%,USD,339.35,0.87%,USD,965.26,3.13%,USD,764.92,3.11%,USD,318.88,4.66%,USD,598.09,2.89%,USD,141.82,3.66%,USD,129.16,1.79%,,,,USD,201.15,4.00%,USD,94.61,2.09%,USD,155.79,1.01%,USD,87.49,1.52%,USD,125.82,5.65%,USD,167.37,3.69%,USD,166.05,5.77%,USD,146.65,1.29%
12/31/2017,USD,596.49,0.91%,USD,464.78,0.99%,,,,USD,530.32,1.08%,USD,278.49,2.40%,USD,647.07,1.54%,USD,829.74,1.52%,USD,575.52,1.61%,USD,387.16,0.59%,USD,336.43,0.91%,USD,935.98,0.99%,USD,741.83,0.83%,USD,304.68,1.64%,USD,581.3,-0.48%,USD,136.81,1.27%,USD,126.89,0.89%,,,,USD,193.42,1.37%,USD,92.67,0.66%,USD,154.23,2.47%,USD,86.18,0.24%,USD,119.09,2.11%,USD,161.42,1.19%,USD,156.99,1.71%,USD,144.78,-0.28%
11/30/2017,USD,591.12,0.10%,USD,460.22,-0.53%,,,,USD,524.64,0.48%,USD,271.95,-0.44%,USD,637.24,-0.27%,USD,817.35,-0.38%,USD,566.41,-0.20%,USD,384.88,-0.51%,USD,333.41,0.48%,USD,926.78,0.08%,USD,735.7,0.36%,USD,299.76,-0.09%,USD,584.12,0.12%,USD,135.1,0.04%,USD,125.77,-0.89%,,,,USD,190.8,0.03%,USD,92.06,0.08%,USD,150.51,-0.39%,USD,85.97,0.92%,USD,116.63,0.93%,USD,159.52,-0.16%,USD,154.35,-0.25%,USD,145.19,-0.56%
10/31/2017,USD,590.53,1.28%,USD,462.66,0.41%,,,,USD,522.12,1.81%,USD,273.15,-0.59%,USD,638.97,0.24%,USD,820.48,0.53%,USD,567.54,0.11%,USD,386.86,0.02%,USD,331.81,0.82%,USD,926.04,0.79%,USD,733.03,2.05%,USD,300.04,4.99%,USD,583.42,0.61%,USD,135.04,2.00%,USD,126.9,0.71%,,,,USD,190.74,1.85%,USD,91.99,0.35%,USD,151.1,0.29%,USD,85.19,0.07%,USD,115.55,2.60%,USD,159.77,1.53%,USD,154.74,5.12%,USD,146.01,0.64%
9/30/2017,USD,583.06,-0.15%,USD,460.76,0.66%,,,,USD,512.83,1.63%,USD,274.77,-0.08%,USD,637.45,0.38%,USD,816.15,0.69%,USD,566.91,0.24%,USD,386.8,0.49%,USD,329.1,-1.19%,USD,918.74,0.12%,USD,718.31,0.24%,USD,285.77,-2.66%,USD,579.87,-0.13%,USD,132.39,-0.76%,USD,126.01,0.22%,,,,USD,187.27,0.52%,USD,91.67,-0.85%,USD,150.67,-0.11%,USD,85.13,-2.12%,USD,112.62,-0.55%,USD,157.36,0.42%,USD,147.2,-2.75%,USD,145.08,-0.52%
8/31/2017,USD,583.95,0.59%,USD,457.72,-0.28%,,,,USD,504.6,1.74%,USD,275,0.97%,USD,635.02,-0.71%,USD,810.54,0.18%,USD,565.58,-1.13%,USD,384.91,-0.52%,USD,333.05,0.55%,USD,917.61,0.36%,USD,716.56,0.83%,USD,293.58,2.77%,USD,580.65,0.74%,USD,133.4,0.99%,USD,125.73,0.10%,,,,USD,186.31,1.34%,USD,92.46,0.50%,USD,150.83,-0.70%,USD,86.97,0.68%,USD,113.24,1.31%,USD,156.7,0.69%,USD,151.36,2.64%,USD,145.84,0.38%
7/31/2017,USD,580.54,1.37%,USD,459.02,1.22%,,,,USD,495.97,2.11%,USD,272.37,3.47%,USD,639.54,1.24%,USD,809.08,0.68%,USD,572.07,1.50%,USD,386.94,1.70%,USD,331.24,0.87%,USD,914.36,1.34%,USD,710.67,1.90%,USD,285.67,1.29%,USD,576.38,0.77%,USD,132.09,1.52%,USD,125.6,0.89%,,,,USD,183.84,2.05%,USD,92,2.21%,USD,151.89,1.19%,USD,86.38,1.24%,USD,111.78,3.04%,USD,155.62,2.32%,USD,147.47,0.94%,USD,145.29,-0.25%
6/30/2017,USD,572.72,-0.49%,USD,453.48,-0.17%,,,,USD,485.74,0.73%,USD,263.23,0.48%,USD,631.7,-0.45%,USD,803.64,0.06%,USD,563.64,-0.74%,USD,380.47,0.52%,USD,328.39,0.36%,USD,902.27,-0.70%,USD,697.44,-0.19%,USD,282.04,-3.29%,USD,571.99,-0.05%,USD,130.11,-0.55%,USD,124.49,-0.44%,,,,USD,180.14,0.49%,USD,90.01,1.01%,USD,150.11,0.72%,USD,85.32,0.35%,USD,108.48,-0.66%,USD,152.09,0.11%,USD,146.1,-3.73%,USD,145.65,0.51%
5/31/2017,USD,575.53,0.82%,USD,454.27,0.09%,,,,USD,482.2,0.82%,USD,261.98,-0.28%,USD,634.57,0.96%,USD,803.18,0.56%,USD,567.83,1.16%,USD,378.49,1.12%,USD,327.21,0.88%,USD,908.65,-0.49%,USD,698.78,1.75%,USD,291.63,0.43%,USD,572.25,1.50%,USD,130.83,0.85%,USD,125.04,-0.11%,,,,USD,179.26,0.98%,USD,89.11,0.69%,USD,149.04,0.06%,USD,85.02,1.21%,USD,109.2,1.13%,USD,151.92,1.54%,USD,151.76,0.08%,USD,144.91,0.97%
4/30/2017,USD,570.86,0.43%,USD,453.88,0.29%,,,,USD,478.29,1.09%,USD,262.72,0.17%,USD,628.51,0.58%,USD,798.74,1.02%,USD,561.3,0.35%,USD,374.28,1.06%,USD,324.35,0.37%,USD,913.12,-0.59%,USD,686.77,1.48%,USD,290.37,-0.54%,USD,563.79,0.83%,USD,129.73,0.34%,USD,125.18,0.22%,,,,USD,177.52,0.70%,USD,88.5,2.01%,USD,148.95,1.04%,USD,84,0.77%,USD,107.98,0.20%,USD,149.61,0.72%,USD,151.64,-1.01%,USD,143.52,0.60%
3/31/2017,USD,568.41,0.39%,USD,452.55,-0.21%,,,,USD,473.13,1.07%,USD,262.28,1.25%,USD,624.89,0.22%,USD,790.7,0.05%,USD,559.37,0.31%,USD,370.36,0.24%,USD,323.16,0.62%,USD,918.57,0.19%,USD,676.73,0.94%,USD,291.96,-1.91%,USD,559.17,1.00%,USD,129.29,0.02%,USD,124.9,-0.24%,USD,35,-0.60%,USD,176.28,1.37%,USD,86.76,1.41%,USD,147.41,-0.83%,USD,83.36,0.14%,USD,107.76,0.80%,USD,148.54,0.87%,USD,153.19,-1.96%,USD,142.66,0.44%
2/28/2017,USD,566.18,0.97%,USD,453.49,1.13%,,,,USD,468.13,1.01%,USD,259.04,-1.12%,USD,623.49,1.07%,USD,790.31,0.93%,USD,557.65,1.13%,USD,369.47,0.98%,USD,321.18,0.72%,USD,916.83,0.33%,USD,670.45,1.36%,USD,297.64,2.39%,USD,553.63,0.93%,USD,129.26,1.34%,USD,125.2,1.11%,USD,35.21,-4.19%,USD,173.9,1.19%,USD,85.55,-0.98%,USD,148.64,1.17%,USD,83.24,0.30%,USD,106.91,2.17%,USD,147.26,0.99%,USD,156.26,2.39%,USD,142.03,1.02%
1/31/2017,USD,560.76,0.70%,USD,448.42,1.31%,USD,25,-2.99%,USD,463.45,2.14%,USD,261.97,2.01%,USD,616.89,1.35%,USD,783.04,1.24%,USD,551.43,1.42%,USD,365.87,-0.02%,USD,318.88,0.96%,USD,913.8,-0.28%,USD,661.45,1.12%,USD,290.69,-1.45%,USD,548.54,0.80%,USD,127.55,0.49%,USD,123.83,1.02%,USD,36.75,-1.79%,USD,171.86,2.01%,USD,86.4,1.48%,USD,146.92,1.41%,USD,82.99,1.42%,USD,104.64,-0.29%,USD,145.81,2.33%,USD,152.62,-1.97%,USD,140.59,0.00%
12/31/2016,USD,556.86,0.96%,USD,442.6,0.39%,USD,25.77,0.35%,USD,453.76,-0.17%,USD,256.8,-0.50%,USD,608.7,1.23%,USD,773.48,1.34%,USD,543.69,1.20%,USD,365.95,0.60%,USD,315.84,0.91%,USD,916.34,1.08%,USD,654.11,0.86%,USD,294.97,0.20%,USD,544.16,1.58%,USD,126.93,0.79%,USD,122.58,0.25%,USD,37.42,0.00%,USD,168.48,-1.17%,USD,85.14,-0.28%,USD,144.88,0.88%,USD,81.83,0.76%,USD,104.94,2.33%,USD,142.49,0.23%,USD,155.69,-0.50%,USD,140.59,1.88%
11/30/2016,USD,551.55,0.36%,USD,440.89,-0.04%,USD,25.68,-2.43%,USD,454.54,-0.48%,USD,258.1,-1.89%,USD,601.31,1.10%,USD,763.29,1.07%,USD,537.24,1.13%,USD,363.77,0.75%,USD,312.98,0.50%,USD,906.56,1.93%,USD,648.54,-0.13%,USD,294.38,-1.74%,USD,535.69,-0.52%,USD,125.93,-0.60%,USD,122.27,-0.29%,USD,37.42,-2.70%,USD,170.47,-0.80%,USD,85.38,-1.74%,USD,143.61,1.27%,USD,81.21,-0.17%,USD,102.55,-2.21%,USD,142.17,0.24%,USD,156.47,-1.76%,USD,137.99,-0.41%
10/31/2016,USD,549.55,-0.18%,USD,441.07,0.07%,USD,26.32,3.99%,USD,456.74,0.39%,USD,263.07,-0.27%,USD,594.75,-0.08%,USD,755.21,1.13%,USD,531.25,-0.56%,USD,361.05,-0.58%,USD,311.41,0.42%,USD,889.4,1.51%,USD,649.37,-0.93%,USD,299.59,-4.17%,USD,538.48,0.10%,USD,126.69,-0.67%,USD,122.63,-0.04%,USD,38.46,5.37%,USD,171.85,0.71%,USD,86.89,-0.46%,USD,141.81,-0.04%,USD,81.35,-0.22%,USD,104.87,0.29%,USD,141.83,-0.18%,USD,159.27,-3.92%,USD,138.56,-0.04%
9/30/2016,USD,550.53,0.12%,USD,440.76,1.04%,USD,25.31,-1.06%,USD,454.97,0.57%,USD,263.79,0.62%,USD,595.24,0.09%,USD,746.79,0.67%,USD,534.24,-0.15%,USD,363.14,0.66%,USD,310.11,0.75%,USD,876.13,0.11%,USD,655.45,0.13%,USD,312.64,-1.72%,USD,537.92,0.59%,USD,127.54,0.13%,USD,122.68,1.10%,USD,36.5,-1.30%,USD,170.64,0.45%,USD,87.29,1.01%,USD,141.86,0.62%,USD,81.53,0.67%,USD,104.57,0.41%,USD,142.08,0.54%,USD,165.77,-2.11%,USD,138.62,0.36%
8/31/2016,USD,549.85,0.47%,USD,436.21,1.26%,USD,25.58,-3.33%,USD,452.41,1.80%,USD,262.16,0.10%,USD,594.73,1.33%,USD,741.83,0.99%,USD,535.04,1.47%,USD,360.77,1.07%,USD,307.8,0.76%,USD,875.16,0.18%,USD,654.59,0.44%,USD,318.12,-3.09%,USD,534.77,0.87%,USD,127.37,0.13%,USD,121.34,1.19%,USD,36.98,-3.65%,USD,169.87,2.32%,USD,86.42,-0.17%,USD,140.99,0.83%,USD,80.99,0.41%,USD,104.14,-0.23%,USD,141.32,1.15%,USD,169.34,-3.24%,USD,138.12,0.81%
7/31/2016,USD,547.3,1.15%,USD,430.8,1.48%,USD,26.46,-8.06%,USD,444.43,1.79%,USD,261.89,0.86%,USD,586.93,1.52%,USD,734.54,1.07%,USD,527.31,1.72%,USD,356.95,0.56%,USD,305.48,1.08%,USD,873.61,0.29%,USD,651.73,1.30%,USD,328.26,1.61%,USD,530.14,1.07%,USD,127.21,1.50%,USD,119.91,1.38%,USD,38.38,-5.35%,USD,166.02,2.10%,USD,86.57,0.84%,USD,139.83,1.66%,USD,80.66,1.23%,USD,104.38,0.88%,USD,139.72,2.80%,USD,175.01,1.56%,USD,137.01,0.77%
6/30/2016,USD,541.1,-0.10%,USD,424.51,0.56%,USD,28.78,-1.44%,USD,436.62,0.77%,USD,259.65,-2.53%,USD,578.12,-0.55%,USD,726.78,-0.48%,USD,518.39,-0.59%,USD,354.96,0.33%,USD,302.23,-0.50%,USD,871.07,0.69%,USD,643.37,-1.87%,USD,323.07,4.19%,USD,524.54,-0.10%,USD,125.33,0.49%,USD,118.28,0.52%,USD,40.55,-1.05%,USD,162.61,0.97%,USD,85.85,-0.74%,USD,137.55,-0.76%,USD,79.68,-0.72%,USD,103.47,2.59%,USD,135.92,-2.32%,USD,172.32,4.05%,USD,135.96,0.09%
5/31/2016,USD,541.65,0.36%,USD,422.15,0.58%,USD,29.2,-0.65%,USD,433.29,-0.21%,USD,266.38,0.21%,USD,581.3,1.01%,USD,730.29,0.80%,USD,521.46,1.11%,USD,353.8,0.48%,USD,303.76,0.12%,USD,865.14,-0.23%,USD,655.63,1.38%,USD,310.09,-3.20%,USD,525.09,0.94%,USD,124.72,0.22%,USD,117.67,0.30%,USD,40.98,0.02%,USD,161.04,-0.62%,USD,86.49,-0.28%,USD,138.61,1.82%,USD,80.26,-0.64%,USD,100.86,-0.58%,USD,139.15,1.46%,USD,165.61,-3.08%,USD,135.84,1.46%
4/30/2016,USD,539.72,0.34%,USD,419.71,1.48%,USD,29.39,-4.33%,USD,434.22,1.21%,USD,265.82,-0.87%,USD,575.46,1.67%,USD,724.47,1.62%,USD,515.74,1.72%,USD,352.1,-0.23%,USD,303.41,1.42%,USD,867.1,0.25%,USD,646.7,-0.70%,USD,320.33,-3.04%,USD,520.21,0.40%,USD,124.45,-0.48%,USD,117.32,1.22%,USD,40.97,-3.58%,USD,162.04,-0.29%,USD,86.73,0.03%,USD,136.13,0.48%,USD,80.78,0.84%,USD,101.45,-0.26%,USD,137.15,0.31%,USD,170.87,-3.52%,USD,133.89,-0.39%
3/31/2016,USD,537.9,0.29%,USD,413.57,1.70%,USD,30.72,-6.63%,USD,429.01,3.19%,USD,268.15,1.56%,USD,566,0.30%,USD,712.9,0.57%,USD,507.01,0.17%,USD,352.92,1.31%,USD,299.17,0.59%,USD,864.94,-0.13%,USD,651.28,0.67%,USD,330.39,-2.83%,USD,518.13,0.74%,USD,125.05,-0.77%,USD,115.91,1.00%,USD,42.49,-6.41%,USD,162.51,2.34%,USD,86.7,0.53%,USD,135.48,-1.02%,USD,80.11,-1.17%,USD,101.71,-0.02%,USD,136.72,0.58%,USD,177.1,-4.40%,USD,134.41,-1.99%
2/29/2016,USD,536.37,-1.08%,USD,406.65,-0.09%,USD,32.9,-3.06%,USD,415.74,-0.87%,USD,264.03,-0.73%,USD,564.33,-1.81%,USD,708.88,-1.16%,USD,506.13,-2.09%,USD,348.35,0.21%,USD,297.42,-1.05%,USD,866.04,-1.55%,USD,646.94,-1.76%,USD,340.01,3.23%,USD,514.31,-0.84%,USD,126.02,-1.16%,USD,114.76,-0.11%,USD,45.4,-2.51%,USD,158.79,-1.59%,USD,86.24,-1.82%,USD,136.87,-1.62%,USD,81.06,0.40%,USD,101.73,-2.32%,USD,135.93,-1.66%,USD,185.25,2.81%,USD,137.14,-0.87%
1/31/2016,USD,542.25,-1.41%,USD,407.03,-1.97%,USD,33.94,9.48%,USD,419.39,-3.45%,USD,265.97,-1.17%,USD,574.75,-3.04%,USD,717.18,-1.36%,USD,516.96,-3.72%,USD,347.62,0.59%,USD,300.57,-0.76%,USD,879.69,-0.57%,USD,658.51,-2.78%,USD,329.36,4.02%,USD,518.66,-0.48%,USD,127.5,-1.61%,USD,114.89,-1.52%,USD,46.57,10.22%,USD,161.35,-4.48%,USD,87.84,-0.10%,USD,139.12,-3.23%,USD,80.74,0.44%,USD,104.15,-0.58%,USD,138.22,-4.96%,USD,180.18,5.58%,USD,138.35,-0.03%
12/31/2015,USD,550.01,-0.85%,USD,415.19,-0.78%,USD,31,4.80%,USD,434.36,-0.12%,USD,269.13,1.60%,USD,592.8,-1.30%,USD,727.06,-0.71%,USD,536.96,-1.54%,USD,345.58,1.31%,USD,302.86,0.15%,USD,884.69,-2.05%,USD,677.33,-0.01%,USD,316.63,-2.19%,USD,521.17,0.21%,USD,129.58,-0.86%,USD,116.66,-1.17%,USD,42.25,3.83%,USD,168.91,0.05%,USD,87.93,2.10%,USD,143.76,-0.77%,USD,80.39,0.53%,USD,104.76,-2.16%,USD,145.43,-0.42%,USD,170.65,-2.53%,USD,138.39,-0.22%
11/30/2015,USD,554.72,0.20%,USD,418.46,-0.73%,USD,29.58,-3.27%,USD,434.87,0.15%,USD,264.89,-1.03%,USD,600.59,-1.17%,USD,732.25,-0.75%,USD,545.34,-1.33%,USD,341.11,-0.49%,USD,302.41,0.08%,USD,903.19,1.41%,USD,677.4,-0.12%,USD,323.71,3.73%,USD,520.09,0.23%,USD,130.7,-0.31%,USD,118.04,-0.78%,USD,40.69,-3.28%,USD,168.83,-1.51%,USD,86.12,-1.24%,USD,144.87,-1.67%,USD,79.97,0.46%,USD,107.07,0.06%,USD,146.05,-0.15%,USD,175.08,3.81%,USD,138.69,-0.18%
10/31/2015,USD,553.59,0.53%,USD,421.55,0.94%,USD,30.58,-5.59%,USD,434.2,2.75%,USD,267.65,-0.59%,USD,607.71,0.14%,USD,737.82,-0.30%,USD,552.71,0.31%,USD,342.79,-0.01%,USD,302.18,-0.20%,USD,890.63,1.29%,USD,678.23,1.72%,USD,312.06,-2.48%,USD,518.91,0.07%,USD,131.11,0.80%,USD,118.97,0.92%,USD,42.07,-4.73%,USD,171.41,2.16%,USD,87.2,-0.83%,USD,147.33,0.59%,USD,79.6,0.08%,USD,107.01,0.91%,USD,146.27,2.89%,USD,168.66,-2.25%,USD,138.94,0.44%
9/30/2015,USD,550.69,-1.41%,USD,417.63,-0.25%,USD,32.39,4.79%,USD,422.56,-0.80%,USD,269.24,0.62%,USD,606.85,-3.44%,USD,740.05,-1.37%,USD,551,-4.22%,USD,342.81,-1.31%,USD,302.78,-0.45%,USD,879.28,-1.57%,USD,666.78,-1.12%,USD,319.99,2.87%,USD,518.55,-0.43%,USD,130.07,-1.02%,USD,117.88,-0.20%,USD,44.16,4.69%,USD,167.78,-0.01%,USD,87.93,1.27%,USD,146.46,-2.87%,USD,79.54,0.01%,USD,106.05,-0.85%,USD,142.16,-1.66%,USD,172.54,2.57%,USD,138.33,-0.10%
8/31/2015,USD,558.56,-1.99%,USD,418.69,-0.24%,USD,30.91,7.85%,USD,425.95,-2.86%,USD,267.58,0.95%,USD,628.47,-2.81%,USD,750.36,-1.44%,USD,575.3,-3.32%,USD,347.36,-0.67%,USD,304.15,-0.04%,USD,893.28,-2.63%,USD,674.34,-1.91%,USD,311.06,-2.76%,USD,520.78,-0.49%,USD,131.41,-2.40%,USD,118.12,-0.14%,USD,42.18,7.60%,USD,167.8,-3.67%,USD,86.83,1.58%,USD,150.79,-3.09%,USD,79.53,-0.58%,USD,106.96,-2.52%,USD,144.56,-3.59%,USD,168.21,-3.29%,USD,138.47,-0.72%
