,Credit Suisse Hedge Fund Index ,,,Credit Suisse Convertible Arbitrage Hedge Fund Index,,,Credit Suisse Dedicated Short Bias Hedge Fund Index,,,Credit Suisse Emerging Markets Hedge Fund Index,,,Credit Suisse Equity Market Neutral Hedge Fund Index,,,Credit Suisse Event Driven Hedge Fund Index,,,Credit Suisse Event Driven Distressed Hedge Fund Index,,,Credit Suisse Event Driven Multi-Strategy Hedge Fund Index,,,Credit Suisse Event Driven Risk Arbitrage Hedge Fund Index,,,Credit Suisse Fixed Income Arbitrage Hedge Fund Index,,,Credit Suisse Global Macro Hedge Fund Index,,,Credit Suisse Long/Short Equity Hedge Fund Index,,,Credit Suisse Managed Futures Hedge Fund Index,,,Credit Suisse Multi-Strategy Hedge Fund Index,,,Credit Suisse AllHedge Index,,,Credit Suisse AllHedge Convertible Arbitrage Index,,,Credit Suisse AllHedge Dedicated Short Bias Index,,,Credit Suisse AllHedge Emerging Markets Index,,,Credit Suisse AllHedge Equity Market Neutral Index,,,Credit Suisse AllHedge Event Driven Index,,,Credit Suisse AllHedge Fixed Income Arbitrage Index,,,Credit Suisse AllHedge Global Macro Index,,,Credit Suisse AllHedge Long/Short Equity Index,,,Credit Suisse AllHedge Managed Futures Index,,,Credit Suisse AllHedge Multi-Strategy Index,,
,HEDG,,,HEDG_CVARB,,,HEDG_DEDSH,,,HEDG_EMMKT,,,HEDG_EQNTR,,,HEDG_EVDRV,,,HEDG_DISTR,,,HEDG_MSEVD,,,HEDG_MRARB,,,HEDG_FIARB,,,HEDG_GLMAC,,,HEDG_LOSHO,,,HEDG_MGFUT,,,HEDG_MULTI,,,SECT,,,SECT_CVARB,,,SECT_DEDSH,,,SECT_EMMKT,,,SECT_EQNTR,,,SECT_EVDRV,,,SECT_FIARB,,,SECT_GLMAC,,,SECT_LOSHO,,,SECT_MGFUT,,,SECT_MULTI,,
Date,CCY,NAV,ROR,CCY,NAV,ROR,CCY,NAV,ROR,CCY,NAV,ROR,CCY,NAV,ROR,CCY,NAV,ROR,CCY,NAV,ROR,CCY,NAV,ROR,CCY,NAV,ROR,CCY,NAV,ROR,CCY,NAV,ROR,CCY,NAV,ROR,CCY,NAV,ROR,CCY,NAV,ROR,CCY,NAV,ROR,CCY,NAV,ROR,CCY,NAV,ROR,CCY,NAV,ROR,CCY,NAV,ROR,CCY,NAV,ROR,CCY,NAV,ROR,CCY,NAV,ROR,CCY,NAV,ROR,CCY,NAV,ROR,CCY,NAV,ROR
8/31/2020,USD,637.03,1.72%,USD,517.77,1.38%,,,,USD,579.77,1.46%,USD,274.39,-0.07%,USD,652.79,3.21%,USD,792.79,1.85%,USD,587.85,3.87%,USD,420.28,0.77%,USD,359.88,1.19%,USD,1054.84,1.89%,USD,807.41,2.67%,USD,304.88,-1.54%,USD,623.44,0.92%,USD,138.68,1.66%,USD,140.93,1.51%,,,,USD,225.36,1.83%,USD,93.1,0.74%,USD,141.91,1.02%,USD,89.83,1.40%,USD,110.38,1.50%,USD,178.99,4.40%,USD,156.32,-1.21%,USD,149.11,0.92%
7/31/2020,USD,626.24,2.64%,USD,510.73,3.72%,,,,USD,571.45,4.40%,USD,274.58,4.34%,USD,632.5,1.74%,USD,778.4,-0.24%,USD,565.94,2.32%,USD,417.07,2.32%,USD,355.64,1.80%,USD,1035.26,4.33%,USD,786.45,1.60%,USD,309.64,2.83%,USD,617.73,3.00%,USD,136.41,2.19%,USD,138.84,3.96%,,,,USD,221.3,5.59%,USD,92.42,3.60%,USD,140.48,1.62%,USD,88.59,1.61%,USD,108.75,4.25%,USD,171.44,2.21%,USD,158.23,2.89%,USD,147.75,1.39%
6/30/2020,USD,610.14,1.16%,USD,492.41,2.01%,,,,USD,547.36,6.34%,USD,263.17,1.89%,USD,621.69,2.35%,USD,780.31,1.92%,USD,553.11,2.53%,USD,407.62,2.36%,USD,349.36,2.67%,USD,992.29,-0.46%,USD,774.04,1.11%,USD,301.12,-1.45%,USD,599.71,0.23%,USD,133.49,1.65%,USD,133.55,2.13%,,,,USD,209.58,7.21%,USD,89.21,1.74%,USD,138.24,2.66%,USD,87.19,1.96%,USD,104.32,1.00%,USD,167.73,2.66%,USD,153.78,-1.62%,USD,145.73,0.44%
5/31/2020,USD,603.12,2.49%,USD,482.72,1.81%,,,,USD,514.75,2.33%,USD,258.29,-0.19%,USD,607.44,2.85%,USD,765.6,0.82%,USD,539.45,3.92%,USD,398.24,1.38%,USD,340.27,2.00%,USD,996.89,2.17%,USD,765.52,4.08%,USD,305.56,-0.58%,USD,598.31,2.09%,USD,131.32,1.44%,USD,130.76,1.99%,,,,USD,195.48,2.09%,USD,87.68,1.20%,USD,134.66,2.76%,USD,85.51,1.98%,USD,103.29,1.21%,USD,163.39,1.69%,USD,156.32,-1.22%,USD,145.09,1.97%
4/30/2020,USD,588.49,2.43%,USD,474.12,1.92%,,,,USD,503.01,4.04%,USD,258.78,1.64%,USD,590.6,4.34%,USD,759.41,2.82%,USD,519.1,5.12%,USD,392.82,3.61%,USD,333.59,-1.91%,USD,975.69,2.87%,USD,735.51,4.32%,USD,307.35,-0.88%,USD,586.06,1.58%,USD,129.45,3.01%,USD,128.21,2.72%,,,,USD,191.47,4.53%,USD,86.64,1.91%,USD,131.04,4.17%,USD,83.85,2.92%,USD,102.06,4.48%,USD,160.68,3.26%,USD,158.25,0.04%,USD,142.29,1.72%
3/31/2020,USD,574.54,-7.28%,USD,465.19,-6.43%,,,,USD,483.46,-10.27%,USD,254.6,-3.12%,USD,566.03,-13.47%,USD,738.61,-10.09%,USD,493.82,-15.59%,USD,379.14,-6.35%,USD,340.07,-6.51%,USD,948.49,-6.19%,USD,705.04,-7.41%,USD,310.08,0.27%,USD,576.94,-5.98%,USD,125.67,-8.48%,USD,124.82,-7.22%,,,,USD,183.18,-7.70%,USD,85.02,-3.44%,USD,125.8,-13.00%,USD,81.47,-6.90%,USD,97.68,-17.11%,USD,155.61,-4.33%,USD,158.19,-0.85%,USD,139.89,-7.03%
2/29/2020,USD,619.67,-1.99%,USD,497.17,1.07%,,,,USD,538.77,-0.56%,USD,262.8,-1.06%,USD,654.12,-2.84%,USD,821.52,-1.36%,USD,585.01,-3.66%,USD,404.85,-0.71%,USD,363.75,0.17%,USD,1011.03,-2.04%,USD,761.44,-3.30%,USD,309.25,-1.47%,USD,613.64,-1.56%,USD,137.32,-2.31%,USD,134.53,1.49%,,,,USD,198.46,0.23%,USD,88.05,-0.32%,USD,144.6,-2.57%,USD,87.51,-0.26%,USD,117.84,-5.18%,USD,162.66,-2.34%,USD,159.54,-1.27%,USD,150.47,-1.60%
1/31/2020,USD,632.26,0.16%,USD,491.89,0.13%,,,,USD,541.8,0.30%,USD,265.61,-1.16%,USD,673.27,0.10%,USD,832.87,0.60%,USD,607.22,-0.12%,USD,407.73,0.23%,USD,363.13,0.63%,USD,1032.07,0.00%,USD,787.4,-0.79%,USD,313.86,1.25%,USD,623.36,1.05%,USD,140.56,-0.40%,USD,132.56,0.16%,,,,USD,198,-1.81%,USD,88.33,-0.41%,USD,148.41,-1.15%,USD,87.74,0.14%,USD,124.28,-1.12%,USD,166.56,-0.74%,USD,161.6,0.11%,USD,152.91,1.29%
12/31/2019,USD,631.24,1.61%,USD,491.27,2.14%,,,,USD,540.16,4.27%,USD,268.74,1.51%,USD,672.6,1.81%,USD,827.91,1.18%,USD,607.95,2.14%,USD,406.79,1.06%,USD,360.87,1.14%,USD,1032.03,1.51%,USD,793.68,2.31%,USD,309.98,0.22%,USD,616.9,0.57%,USD,141.12,1.73%,USD,132.35,2.38%,,,,USD,201.64,4.33%,USD,88.69,1.70%,USD,150.13,0.01%,USD,87.62,0.71%,USD,125.69,2.55%,USD,167.8,2.01%,USD,161.42,0.63%,USD,150.97,1.51%
11/30/2019,USD,621.22,0.47%,USD,480.96,1.04%,,,,USD,518.06,0.04%,USD,264.73,-0.57%,USD,660.65,0.59%,USD,818.23,-0.20%,USD,595.23,0.97%,USD,402.54,0.05%,USD,356.82,0.50%,USD,1016.63,-0.18%,USD,775.76,1.31%,USD,309.3,0.21%,USD,613.39,0.08%,USD,138.72,0.51%,USD,129.27,1.20%,,,,USD,193.28,-0.09%,USD,87.21,-0.37%,USD,150.11,-0.33%,USD,87,0.58%,USD,122.57,1.28%,USD,164.49,1.49%,USD,160.41,-0.29%,USD,148.73,-0.11%
